year_film,year_ceremony,ceremony,category,name,film,winner
2017,2018,90,ACTOR IN A LEADING ROLE,Timothée Chalamet,Call Me by Your Name,False
2017,2018,90,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,Phantom Thread,False
2017,2018,90,ACTOR IN A LEADING ROLE,Daniel Kaluuya,Get Out,False
2017,2018,90,ACTOR IN A LEADING ROLE,Gary Oldman,Darkest Hour,True
2017,2018,90,ACTOR IN A LEADING ROLE,Denzel Washington,"Roman J. Israel, Esq.",False
2017,2018,90,ACTOR IN A SUPPORTING ROLE,Willem Dafoe,The Florida Project,False
2017,2018,90,ACTOR IN A SUPPORTING ROLE,Woody Harrelson,"Three Billboards outside Ebbing, Missouri",False
2017,2018,90,ACTOR IN A SUPPORTING ROLE,Richard Jenkins,The Shape of Water,False
2017,2018,90,ACTOR IN A SUPPORTING ROLE,Christopher Plummer,All the Money in the World,False
2017,2018,90,ACTOR IN A SUPPORTING ROLE,Sam Rockwell,"Three Billboards outside Ebbing, Missouri",True
2017,2018,90,ACTRESS IN A LEADING ROLE,Sally Hawkins,The Shape of Water,False
2017,2018,90,ACTRESS IN A LEADING ROLE,Frances McDormand,"Three Billboards outside Ebbing, Missouri",True
2017,2018,90,ACTRESS IN A LEADING ROLE,Margot Robbie,"I, Tonya",False
2017,2018,90,ACTRESS IN A LEADING ROLE,Saoirse Ronan,Lady Bird,False
2017,2018,90,ACTRESS IN A LEADING ROLE,Meryl Streep,The Post,False
2017,2018,90,ACTRESS IN A SUPPORTING ROLE,Mary J. Blige,Mudbound,False
2017,2018,90,ACTRESS IN A SUPPORTING ROLE,Allison Janney,"I, Tonya",True
2017,2018,90,ACTRESS IN A SUPPORTING ROLE,Lesley Manville,Phantom Thread,False
2017,2018,90,ACTRESS IN A SUPPORTING ROLE,Laurie Metcalf,Lady Bird,False
2017,2018,90,ACTRESS IN A SUPPORTING ROLE,Octavia Spencer,The Shape of Water,False
2017,2018,90,ANIMATED FEATURE FILM,Tom McGrath and Ramsey Naito,The Boss Baby,False
2017,2018,90,ANIMATED FEATURE FILM,Nora Twomey and Anthony Leo,The Breadwinner,False
2017,2018,90,ANIMATED FEATURE FILM,Lee Unkrich and Darla K. Anderson,Coco,True
2017,2018,90,ANIMATED FEATURE FILM,Carlos Saldanha and Lori Forte,Ferdinand,False
2017,2018,90,ANIMATED FEATURE FILM,"Dorota Kobiela, Hugh Welchman and Ivan Mactaggart",Loving Vincent,False
2017,2018,90,CINEMATOGRAPHY,Roger A. Deakins,Blade Runner 2049,True
2017,2018,90,CINEMATOGRAPHY,Bruno Delbonnel,Darkest Hour,False
2017,2018,90,CINEMATOGRAPHY,Hoyte van Hoytema,Dunkirk,False
2017,2018,90,CINEMATOGRAPHY,Rachel Morrison,Mudbound,False
2017,2018,90,CINEMATOGRAPHY,Dan Laustsen,The Shape of Water,False
2017,2018,90,COSTUME DESIGN,Jacqueline Durran,Beauty and the Beast,False
2017,2018,90,COSTUME DESIGN,Jacqueline Durran,Darkest Hour,False
2017,2018,90,COSTUME DESIGN,Mark Bridges,Phantom Thread,True
2017,2018,90,COSTUME DESIGN,Luis Sequeira,The Shape of Water,False
2017,2018,90,COSTUME DESIGN,Consolata Boyle,Victoria & Abdul,False
2017,2018,90,DIRECTING,Christopher Nolan,Dunkirk,False
2017,2018,90,DIRECTING,Jordan Peele,Get Out,False
